GemName;Usage(GS);%Usage;Usage(NR);Downloads
simple_record;1;0,0014;17;38248
address_standardization;1;0,0014;4;1741
with_action;1;0,0014;4;700
archive-zip;1;0,0014;7;4513
easy_roles;1;0,0014;39;12487
pngqr;1;0,0014;2;742
crumble;1;0,0014;12;5959
crewait;1;0,0014;26;5259
backports;1;0,0014;20;63131
also_migrate;1;0,0014;20;7095
mover;1;0,0014;21;6598
rspec-on-rails-matchers;1;0,0014;1;269
brazilian-rails;1;0,0014;16;27770
password_strength;2;0,0027;7;8536
infinity_test;1;0,0014;7;5770
ruby-units;1;0,0014;16;18159
memprof;1;0,0014;7;12211
assert_difference;1;0,0014;1;607
broach;1;0,0014;19;7753
haversine;1;0,0014;6;972
jason;1;0,0014;2;686
passgen;1;0,0014;4;1734
restfulie;1;0,0014;21;9508
zeppelin;1;0,0014;6;414
capistrano-helpers;1;0,0014;5;8006
i18n_generators;1;0,0014;9;8199
json-jruby;1;0,0014;4;40289
devise_security_extension;1;0,0014;5;2221
showoff-io;1;0,0014;1;4741
rspec_multi_matchers;1;0,0014;1;2115
uploadify_rails3;1;0,0014;2;754
swearjar;1;0,0014;2;1472
redis-session-store;1;0,0014;8;3883
open_graph;1;0,0014;2;1309
pyapns;1;0,0014;1;427
ruby-duration;1;0,0014;4;4709
time_travel;2;0,0027;2;1320
easy_globalize3_accessors;1;0,0014;3;1198
formtastic_calendar_date_select;1;0,0014;2;1434
ActionMailer-Base-to-use-an-absolute-path-template;1;0,0014;1;1182
bigdecimal-segfault-fix;1;0,0014;1;854
most_nested_hash;1;0,0014;1;775
paperclip-time-stamped;1;0,0014;1;2275
Pr0d1r2-geokit;1;0,0014;1;1554
rails_relations_fix;1;0,0014;1;1152
url_safe_base64;1;0,0014;3;1703
with_filled_field_scope;1;0,0014;1;1449
acts-as-messageable;10;0,0136;4;2892
capybara-envjs-fixes;10;0,0136;3;5843
ready_for_i18n;2;0,0027;2;3706
flexible_csv;2;0,0027;3;2060
bounce-email;2;0,0027;1;1270
postgres_sequence_support;2;0,0027;1;773
db2s3;1;0,0014;15;3760
lindo;1;0,0014;1;1498
sinatra-reloader;2;0,0027;3;23505
require_all;1;0,0014;41;20589
autowatchr;1;0,0014;1;4259
r38y-aasm;1;0,0014;4;513
le88-aws-s3;1;0,0014;4;147
hooks;1;0,0014;23;7527
blueprints;1;0,0014;4;15649
heroku_plus;1;0,0014;1;2766
markerb;1;0,0014;4;266
paginate;1;0,0014;6;3681
mongo_ext;1;0,0014;50;54062
async_sinatra;1;0,0014;3;12946
rainbows;2;0,0027;6;17705
asset_hat;1;0,0014;29;11044
io-extra;1;0,0014;1;3522
tidy_ffi;1;0,0014;15;8011
nntp;1;0,0014;2;1629
calais;1;0,0014;10;6805
spreadsheet-excel;1;0,0014;16;10542
dawanda-statsd-client;1;0,0014;2;1757
mock-aws-s3;1;0,0014;1;2141
mock_redis;1;0,0014;2;2044
acts_as_money;1;0,0014;4;1311
ruby-mp3info;2;0,0027;52;28005
tunecore_direct;1;0,0014;2;4326
media_monster_client;1;0,0014;1;132
nu_wav;1;0,0014;1;969
activemessaging;1;0,0014;13;11889
justinfrench-formtastic;1;0,0014;70;0
POpen4;1;0,0014;762;136345
seer;1;0,0014;35;7234
google_places;1;0,0014;5;925
sequel_pg;1;0,0014;2;2302
goose;1;0,0014;2;949
activemerchant_patch_for_china;1;0,0014;2;4895
racc;1;0,0014;20;16373
rack-xframe-options;1;0,0014;2;1019
rotp;1;0,0014;3;806
resque-dynamic-queues;2;0,0027;4;1181
magick_title;1;0,0014;1;864
naturalsort;1;0,0014;2;2760
geonames;1;0,0014;39;23279
private_pub;1;0,0014;3;483
matthuhiggins-foreigner;2;0,0027;26;13469
i18n_data;2;0,0027;12;5273
redbox;1;0,0014;3;2782
active_record_base_without_table;1;0,0014;8;5648
sslrequirement;1;0,0014;13;3466
rjb;1;0,0014;13;54437
biomart;1;0,0014;1;3817
mongo_store;1;0,0014;4;2433
ripple;1;0,0014;2;9168
clogger;1;0,0014;1;8209
rspec-http;1;0,0014;1;1269
adwords4r;1;0,0014;25;21744
rchardet;1;0,0014;35;22563
require_hooks;1;0,0014;1;338
data_fabric;1;0,0014;28;8958
deep_merge;1;0,0014;7;4689
prawn-graph;1;0,0014;1;1636
guard-ego;1;0,0014;2;1868
activerecord-nulldb-adapter;1;0,0014;3;5811
embedly;1;0,0014;27;5051
rspec-given;1;0,0014;2;1769
citrus;1;0,0014;2;10947
inherited_resources_views;1;0,0014;32;9412
mongoid-eager-loading;1;0,0014;8;2994
rack-mount;1;0,0014;6268;3557351
bzip2-ruby;1;0,0014;8;5807
be_valid_asset;1;0,0014;4;1860
irb_callbacks;1;0,0014;1;807
doc_raptor;1;0,0014;21;4727
elasticity;1;0,0014;1;1786
mimemagic;1;0,0014;149;15841
grb;1;0,0014;6;7490
nilify_blanks;1;0,0014;4;946
sunspot_index_queue;1;0,0014;9;2761
gmail_xoauth;1;0,0014;26;14612
rack-revision-info;3;0,0041;4;1746
warden-openid;1;0,0014;1;1428
gpgme;1;0,0014;10;3833
resque-multi-job-forks;1;0,0014;9;2573
comatose;1;0,0014;2;1040
alphasights-prawn;1;0,0014;5;2866
inline;1;0,0014;4;6499
aws_credentials;1;0,0014;1;2012
daikon;1;0,0014;3;6962
choice;1;0,0014;29;33950
